City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,talwandi bhai,30.85,74.9333,27.48,80,9,4.36,IN,1722721924
270,nola,40.922,14.5329,29.24,52,74,0.95,IT,1722721925
271,klaksvik,62.2266,-6.589,11.51,94,5,5.45,FO,1722721926
272,cabo san lucas,22.8909,-109.9124,36.61,67,20,4.81,MX,1722721928
273,karaton,-6.3424,106.1045,21.61,99,29,0.48,ID,1722721930
274,bardai,11.65,7.2333,21.67,91,89,3.34,NG,1722721931
275,kosum phisai,16.2486,103.0674,25.47,88,100,5.92,TH,1722721932
276,pimentel,-6.8367,-79.9342,21.16,68,40,6.17,PE,1722721933
277,charata,-27.2144,-61.188,21.24,56,69,7.06,AR,1722721703
278,opladen,51.0667,7.0167,20.38,80,100,2.93,DE,1722721936
279,khandyga,62.6667,135.6,13.78,61,99,0.85,RU,1722721937
280,bikenibeu village,1.3673,173.1241,27.98,89,20,5.14,KI,1722721938
281,fale old settlement,-9.3852,-171.2468,27.46,81,56,5.54,TK,1722721939
282,dubbo,-32.25,148.6167,3.07,93,100,2.57,AU,1722721940
283,murzuq,25.9155,13.9184,30.33,16,0,4.11,LY,1722721941
284,luderitz,-26.6481,15.1594,12.56,95,44,4.61,NA,1722721942
285,terbanggi besar,-4.8667,105.2333,23.46,95,16,2.74,ID,1722721943
286,pauini,-7.7136,-66.9764,31.04,50,74,1.11,BR,1722721946
287,mount gambier,-37.8333,140.7667,3.74,94,99,2.3,AU,1722721947
288,emerald,-23.5333,148.1667,13.12,74,0,2.91,AU,1722721948
289,muisne,0.6,-80.0333,24.06,85,100,5.1,EC,1722721949
290,usinsk,65.9939,57.5281,16.65,70,100,9.96,RU,1722721950
291,plastun,44.7561,136.2939,14.66,98,100,0.99,RU,1722721951
292,tadine,-21.55,167.8833,20.81,59,0,5.15,NC,1722721953
293,beau vallon,-20.4189,57.6953,20.13,83,40,0.0,MU,1722721954
294,prineville,44.2999,-120.8345,33.06,28,0,4.12,US,1722721955
295,parkway,38.496,-121.4588,40.32,19,0,2.57,US,1722721956
296,lisala,2.15,21.5167,23.45,82,76,0.07,CD,1722721957
297,batibo,5.8358,9.8553,18.66,95,98,0.28,CM,1722721958
298,daru,-9.0763,143.2092,23.8,84,100,8.17,PG,1722721959
299,alice springs,-23.7,133.8833,10.75,58,75,3.6,AU,1722721961
300,san agustin de valle fertil,-30.6335,-67.4682,14.48,22,97,3.52,AR,1722721962
301,ndioum,16.5129,-14.6471,33.94,51,100,2.12,SN,1722721963
302,pershore,52.1116,-2.0759,15.25,73,100,2.39,GB,1722721964
303,kushtagi,15.7667,76.2,22.33,86,100,7.47,IN,1722721965
304,xilin hot,43.9667,116.0333,18.56,88,94,2.41,CN,1722721966
305,nueva esperanza,15.2667,-87.6,31.79,81,60,1.73,HN,1722721967
306,san sebastian de la gomera,28.0916,-17.1133,27.2,50,0,0.51,ES,1722721969
307,bamboo flat,11.7,92.7167,26.05,94,100,1.03,IN,1722721970
308,saint-joseph,-21.3667,55.6167,17.21,75,3,2.18,RE,1722721971
309,polyarnyy,69.1989,33.4478,9.21,91,25,3.23,RU,1722721972
310,tsiombe,-25.3,45.4833,16.76,87,0,0.75,MG,1722721973
311,bahia blanca,-38.7196,-62.2724,14.78,30,0,8.16,AR,1722721974
312,tobelo,1.7284,128.0095,26.14,80,94,0.91,ID,1722721975
313,toamasina,-18.1667,49.3833,16.0,94,20,0.0,MG,1722721977
314,vorkuta,67.5,64.0,13.15,65,100,6.79,RU,1722721978
315,ulsteinvik,62.3432,5.8487,16.84,91,100,0.45,NO,1722721979
316,kolonia town,6.964,158.206,28.0,83,20,1.54,FM,1722721980
317,kayangel,8.0823,134.7173,28.72,75,99,6.59,PW,1722721981
318,bulgan,48.8125,103.5347,13.39,77,5,1.19,MN,1722721982
319,port douglas,-16.4833,145.4667,22.06,75,53,6.99,AU,1722721983
320,arteche,12.2645,125.4048,24.85,94,70,1.65,PH,1722721984
321,urbano santos,-3.2078,-43.4036,26.35,56,9,2.79,BR,1722721986
322,mili,6.0815,171.735,28.47,74,37,4.24,MH,1722721987
323,sao joao da barra,-21.6403,-41.0511,22.05,79,74,7.08,BR,1722721988
324,constitucion,-35.3333,-72.4167,10.56,81,92,0.88,CL,1722721989
325,zeya,53.75,127.2667,16.48,62,98,1.33,RU,1722721990
326,quellon,-43.1167,-73.6167,7.57,89,100,3.32,CL,1722721992
327,hasaki,35.7333,140.8333,26.27,79,83,2.27,JP,1722721993
328,khovd,48.0056,91.6419,19.22,43,4,3.45,MN,1722721994
329,atafu village,-8.5421,-172.5159,28.28,75,52,6.48,TK,1722721996
330,luganville,-15.5333,167.1667,24.49,83,99,4.45,VU,1722721998
331,olyokminsk,60.3736,120.4264,13.98,75,99,2.16,RU,1722721999
332,brookings,44.3114,-96.7984,33.43,55,0,6.17,US,1722722000
333,tazovsky,67.4667,78.7,11.19,80,89,4.45,RU,1722722001
334,austin,30.2672,-97.7431,39.2,44,0,2.06,US,1722721758
335,midvagur,62.0511,-7.1939,10.46,100,100,3.6,FO,1722722003
336,naryshkino,52.9678,35.7268,15.33,90,100,2.68,RU,1722722004
337,katsuura,35.1333,140.3,25.37,85,16,2.06,JP,1722722006
338,sarangani,5.4033,125.4636,28.43,77,92,5.48,PH,1722722007
339,vysokiy,58.35,60.05,12.4,96,38,2.27,RU,1722722008
340,fort mcmurray,56.7268,-111.381,21.77,72,100,4.12,CA,1722722009
341,callao,-12.0667,-77.15,22.62,72,75,4.63,PE,1722721999
342,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1722722011
343,vylkove,45.4021,29.586,22.96,80,94,1.66,UA,1722722012
344,port lincoln,-34.7333,135.8667,11.18,74,100,4.0,AU,1722722014
345,panacan,9.2463,118.4082,25.91,82,60,1.42,PH,1722722015
346,sur,22.5667,59.5289,31.8,57,100,3.03,OM,1722722016
347,northam,51.0333,-4.2167,14.78,86,100,3.67,GB,1722722017
348,baranovichi,53.1327,26.0139,17.13,71,100,2.97,BY,1722722018
349,wynyard,-41.0,145.7167,9.39,88,44,4.24,AU,1722721907
350,las khorey,11.1595,48.1967,30.2,66,50,4.98,SO,1722722020
351,bereznehuvate,47.3078,32.8499,23.19,73,100,3.96,UA,1722722021
352,nadym,65.5333,72.5167,17.87,89,90,4.65,RU,1722722023
353,qaqortoq,60.7167,-46.0333,8.65,73,16,2.6,GL,1722722024
354,saint-denis,48.9167,2.3333,20.13,88,100,2.57,FR,1722722025
355,andratx,39.5755,2.4202,27.56,75,0,3.1,ES,1722722026
356,corinth,37.9407,22.9573,27.16,45,0,1.36,GR,1722722028
357,robore,-18.3333,-59.75,33.02,23,0,4.5,BO,1722722030
358,bull savanna,17.8868,-77.5902,28.07,70,72,7.04,JM,1722722031
359,yulinshi,38.2906,109.7494,22.25,71,1,2.07,CN,1722722032
360,kruisfontein,-34.0033,24.7314,16.17,19,98,3.81,ZA,1722722033
361,dogondoutchi,13.6393,4.0287,25.67,78,99,3.86,NE,1722722034
362,jeremie,18.65,-74.1167,29.83,69,65,1.62,HT,1722722035
